Epoch,Iteration,TD Loss,CQL Penalty,Critic Loss,Actor Loss,Q1 Value,Q2 Value,Action_Mean,Action_Std,Entropy
0,0,2.6276066303253174,6.2881011962890625,4.199631690979004,0.5689112544059753,-0.4148765206336975,-0.06856171041727066,0.1917981505393982,0.651319682598114,0.6701839566230774
1,0,0.04354865849018097,6.114292144775391,1.5721217393875122,0.12138199806213379,-1.8965027332305908,-1.7444041967391968,0.14778968691825867,0.9326847791671753,-8.945284843444824
2,0,0.08863465487957001,6.072953701019287,1.6068730354309082,0.447903037071228,-2.3408756256103516,-2.2283852100372314,0.018459752202033997,0.9462823867797852,-9.56413459777832
3,0,0.15659362077713013,6.05696964263916,1.6708359718322754,0.7699165344238281,-2.867701530456543,-2.772902727127075,-0.04015517979860306,0.9502559304237366,-10.61197566986084
4,0,0.20870541036128998,6.044049263000488,1.7197177410125732,1.1579749584197998,-3.2953543663024902,-3.179333448410034,-0.048259370028972626,0.951475203037262,-10.780375480651855
5,0,0.31427428126335144,6.014516830444336,1.8179035186767578,1.7677955627441406,-3.7998247146606445,-3.611287832260132,-0.13710367679595947,0.937972903251648,-10.196284294128418
6,0,0.08535528182983398,6.06437873840332,1.601449966430664,1.4333832263946533,-3.814727783203125,-3.6418542861938477,-0.4121725261211395,0.882363498210907,-11.929649353027344
7,0,0.16668787598609924,6.012746334075928,1.6698744297027588,1.69944429397583,-4.3577165603637695,-4.157238960266113,-0.39002394676208496,0.8956656455993652,-13.320493698120117
8,0,0.10122392326593399,6.001524448394775,1.6016050577163696,2.1314756870269775,-4.866450309753418,-4.638155460357666,-0.48727089166641235,0.8449366092681885,-13.706954956054688
9,0,0.1176869124174118,5.972077369689941,1.6107062101364136,2.601874828338623,-5.465079307556152,-5.19401741027832,-0.4424237906932831,0.8675456643104553,-14.339463233947754
10,0,0.26499196887016296,5.965270519256592,1.7563096284866333,3.086228847503662,-6.06685733795166,-5.810007095336914,-0.4343135356903076,0.8702415823936462,-14.924013137817383
11,0,0.20168831944465637,5.941481590270996,1.687058687210083,3.690608263015747,-6.654661178588867,-6.377021789550781,-0.4317018389701843,0.8641294240951538,-14.840692520141602
12,0,0.6598873734474182,5.969517707824707,2.15226674079895,4.089331150054932,-7.177696704864502,-6.890758514404297,-0.45616793632507324,0.8685809373855591,-15.477619171142578
13,0,0.32247382402420044,5.987560272216797,1.8193638324737549,4.504416465759277,-7.677603244781494,-7.364475250244141,-0.4915720224380493,0.839616596698761,-15.888650894165039
14,0,0.5880906581878662,5.951745510101318,2.0760269165039062,5.220251083374023,-8.311068534851074,-7.987893104553223,-0.4828372597694397,0.8399348855018616,-15.485376358032227
15,0,0.43746209144592285,5.941410064697266,1.9228146076202393,5.843538284301758,-9.064850807189941,-8.747180938720703,-0.5209764242172241,0.8181828260421753,-16.120237350463867
16,0,0.445090651512146,5.944234848022461,1.9311493635177612,6.412013530731201,-9.759511947631836,-9.414743423461914,-0.4019692540168762,0.8887760639190674,-16.7853946685791
17,0,0.5697247982025146,5.943569183349609,2.055617094039917,6.9790239334106445,-10.41811752319336,-10.047957420349121,-0.46821972727775574,0.8585101962089539,-17.250652313232422
18,0,1.1605250835418701,5.919388294219971,2.6403722763061523,7.663290500640869,-11.182626724243164,-10.77271842956543,-0.4422256648540497,0.87226402759552,-17.63913345336914
19,0,0.664150595664978,5.952582359313965,2.1522960662841797,8.259116172790527,-11.694809913635254,-11.283141136169434,-0.484101802110672,0.8403756618499756,-17.27334976196289
20,0,1.9115116596221924,5.950355529785156,3.3991005420684814,8.920166015625,-12.43519401550293,-11.978389739990234,-0.4551730751991272,0.8646910190582275,-17.602550506591797
21,0,0.8490475416183472,5.990292549133301,2.346620559692383,9.602764129638672,-13.139753341674805,-12.593156814575195,-0.48208555579185486,0.8476537466049194,-17.730213165283203
22,0,1.6671574115753174,5.980574607849121,3.1623010635375977,10.333917617797852,-13.90662670135498,-13.403801918029785,-0.46231094002723694,0.8629019856452942,-17.955781936645508
23,0,1.9734022617340088,5.941227912902832,3.458709239959717,10.930411338806152,-14.501799583435059,-13.938797950744629,-0.48772889375686646,0.8421667218208313,-17.936595916748047
24,0,1.8694844245910645,5.990267753601074,3.367051362991333,11.528457641601562,-15.180282592773438,-14.682866096496582,-0.4902106821537018,0.8424866795539856,-18.403980255126953
25,0,1.9759972095489502,6.007936477661133,3.4779813289642334,12.210561752319336,-15.861345291137695,-15.433494567871094,-0.47984421253204346,0.8521004319190979,-18.426124572753906
26,0,0.9642475843429565,5.983778953552246,2.4601922035217285,12.86522102355957,-16.461132049560547,-15.976390838623047,-0.5015051364898682,0.831051230430603,-18.095760345458984
27,0,0.9591765999794006,5.972873687744141,2.452394962310791,13.471543312072754,-17.243284225463867,-16.731334686279297,-0.5358796715736389,0.8166688680648804,-18.961759567260742
28,0,2.2483935356140137,6.067224502563477,3.765199661254883,14.08187198638916,-17.874509811401367,-17.475242614746094,-0.5082621574401855,0.8244568705558777,-19.1390380859375
29,0,2.3499717712402344,6.023517608642578,3.855851173400879,14.929109573364258,-18.633493423461914,-18.304044723510742,-0.4895726442337036,0.8370311260223389,-18.83030891418457
30,0,4.2716522216796875,6.059077262878418,5.786421775817871,15.326220512390137,-19.046541213989258,-18.71157455444336,-0.5570254921913147,0.7946768999099731,-18.981536865234375
31,0,0.9694900512695312,6.028314590454102,2.4765686988830566,16.045515060424805,-19.81100082397461,-19.59680938720703,-0.43507832288742065,0.8752161264419556,-19.35108184814453
32,0,5.195255756378174,6.032099723815918,6.703280448913574,16.77762222290039,-20.704328536987305,-20.272300720214844,-0.4511777460575104,0.8673574924468994,-19.75126075744629
33,0,1.5968363285064697,6.140981674194336,3.1320817470550537,17.345998764038086,-21.225738525390625,-20.741426467895508,-0.532056450843811,0.8132761120796204,-19.573789596557617
34,0,3.441664695739746,6.013092041015625,4.944937705993652,18.118560791015625,-21.95089340209961,-21.470556259155273,-0.5401106476783752,0.8077052235603333,-19.305957794189453
35,0,6.007596015930176,6.026091575622559,7.5141191482543945,18.85991096496582,-22.789913177490234,-22.325408935546875,-0.48396724462509155,0.8469046950340271,-19.83476448059082
36,0,1.1727197170257568,6.0475616455078125,2.68461012840271,19.560115814208984,-23.43152618408203,-22.960010528564453,-0.5230426788330078,0.8164075016975403,-19.622268676757812
37,0,6.776422500610352,6.06205940246582,8.291936874389648,20.16649055480957,-24.062328338623047,-23.51766014099121,-0.5192646980285645,0.8222824931144714,-19.622591018676758
38,0,3.551945924758911,6.582679748535156,5.197615623474121,20.926570892333984,-25.020097732543945,-24.43552017211914,-0.47321611642837524,0.8567204475402832,-20.586278915405273
39,0,3.8465118408203125,6.385150909423828,5.4427995681762695,21.74152374267578,-25.625144958496094,-25.129613876342773,-0.5016880035400391,0.8293216228485107,-19.70323371887207
40,0,13.048188209533691,6.738576889038086,14.732831954956055,22.122859954833984,-26.196678161621094,-25.636472702026367,-0.5752408504486084,0.7897453308105469,-20.646814346313477
41,0,1.2679505348205566,6.141744613647461,2.803386688232422,22.92461395263672,-26.957178115844727,-26.310651779174805,-0.5627005696296692,0.7914092540740967,-20.35555076599121
42,0,5.23201847076416,6.513883590698242,6.860489368438721,23.769065856933594,-27.789852142333984,-27.221351623535156,-0.5029144287109375,0.8284798860549927,-20.347381591796875
43,0,1.5078258514404297,6.043928146362305,3.018807888031006,24.721630096435547,-28.81552505493164,-28.151880264282227,-0.5312508940696716,0.8190156817436218,-20.571096420288086
44,0,6.724656581878662,6.232522964477539,8.282787322998047,25.076383590698242,-29.161577224731445,-28.518327713012695,-0.5861347317695618,0.7787162661552429,-20.786846160888672
45,0,1.123565912246704,6.410844802856445,2.7262771129608154,25.97788429260254,-30.046653747558594,-29.37934112548828,-0.5501090288162231,0.8045210838317871,-20.52103042602539
46,0,10.54635238647461,7.333271026611328,12.379670143127441,26.7987060546875,-30.804054260253906,-30.319353103637695,-0.48567667603492737,0.8422961831092834,-20.37146759033203
47,0,6.868384838104248,7.330055236816406,8.700899124145508,27.216476440429688,-31.28209686279297,-30.749649047851562,-0.56277996301651,0.7985588312149048,-20.6216983795166
48,0,1.7277612686157227,7.240472793579102,3.537879467010498,28.148597717285156,-32.192291259765625,-31.642311096191406,-0.4713607728481293,0.8441663384437561,-20.490169525146484
49,0,1.1496928930282593,6.165498733520508,2.691067695617676,28.58941650390625,-32.719383239746094,-32.24040603637695,-0.5385491847991943,0.8110222816467285,-20.894855499267578
50,0,18.411653518676758,11.480840682983398,21.281864166259766,29.338516235351562,-33.570167541503906,-33.10127639770508,-0.5325206518173218,0.8153133988380432,-21.416305541992188
51,0,10.014676094055176,10.743824005126953,12.700632095336914,30.07440948486328,-34.24542999267578,-33.838165283203125,-0.5494304895401001,0.7986840605735779,-21.282268524169922
52,0,12.016203880310059,10.099737167358398,14.5411376953125,30.613317489624023,-34.923831939697266,-34.37032699584961,-0.5422715544700623,0.8090903162956238,-21.91376304626465
53,0,6.330997467041016,8.577213287353516,8.475300788879395,31.39824867248535,-35.56247329711914,-35.11122512817383,-0.5335267782211304,0.8032868504524231,-21.215068817138672
54,0,13.651893615722656,9.85647964477539,16.116012573242188,32.153175354003906,-36.379154205322266,-35.78079605102539,-0.5395240783691406,0.8073568344116211,-21.40523910522461
55,0,1.6713552474975586,6.713403701782227,3.3497061729431152,32.838905334472656,-37.06964874267578,-36.39118957519531,-0.5393821001052856,0.8042333126068115,-21.353439331054688
56,0,12.588353157043457,10.001964569091797,15.088844299316406,33.381473541259766,-37.664833068847656,-37.0991096496582,-0.5380943417549133,0.8093949556350708,-21.786273956298828
57,0,8.581768989562988,6.496028900146484,10.20577621459961,34.20011520385742,-38.498626708984375,-37.85267639160156,-0.5760640501976013,0.7876347303390503,-21.68263053894043
58,0,9.86849594116211,6.280223846435547,11.438551902770996,35.131309509277344,-39.45039367675781,-38.81132507324219,-0.5471328496932983,0.8054526448249817,-21.837690353393555
59,0,22.70757293701172,9.016414642333984,24.96167755126953,35.380584716796875,-39.645240783691406,-38.98495101928711,-0.5029168725013733,0.8326399922370911,-21.70455551147461
60,0,1.8550089597702026,6.464967727661133,3.4712510108947754,36.09455108642578,-40.41754913330078,-39.7327880859375,-0.5534465909004211,0.7976812124252319,-21.9384708404541
61,0,1.3803279399871826,6.236419677734375,2.9394328594207764,36.8843879699707,-41.342857360839844,-40.553985595703125,-0.5111930966377258,0.8346901535987854,-22.629638671875
62,0,17.161067962646484,8.241718292236328,19.22149658203125,37.485687255859375,-41.89142608642578,-41.24080276489258,-0.602836549282074,0.7681140899658203,-22.320499420166016
